Month,StateID,State,Median Listing Price,Median Listing Price M/M,Median Listing Price Y/Y,Active Listing Count ,Active Listing Count M/M,Active Listing Count Y/Y,Days on Market ,Days on Market M/M,Days on Market Y/Y,New Listing Count ,New Listing Count M/M,New Listing Count Y/Y,Price Increase Count ,Price Increase Count M/M,Price Increase Count Y/Y,Price Decrease Count ,Price Decrease Count M/M,Price Decrease Count Y/Y,Pending Listing Count ,Pending Listing Count M/M,Pending Listing Count Y/Y,Median List Price Per Sqft,Median List Price Per Sqft M/M,Median List Price Per Sqft Y/Y,Median Listing Sqft,Median Listing Sqft M/M,Median Listing Sqft Y/Y,Avg Listing Price,Avg Listing Price M/M,Avg Listing Price Y/Y
2018-09-01,GA,Georgia,285000,-0.0104,0.0714,71780,-0.0016,-0.0092,62,0.0690,-0.0606,24054,-0.0674,0.1564,2302,-0.0792,-0.1900,18568,-0.0447,0.2250,25680,-0.0420,1.0478,113,-0.0024,0.0664,2397,-0.0012,-0.0004,384800,-0.0191,0.0386
2018-09-01,HI,Hawaii,675000,0.0057,0.0433,6905,-0.0119,0.0063,89,0.0114,-0.0532,1676,-0.0466,-0.0357,88,1.2000,0.6923,1146,-0.0386,0.1369,381,-0.0819,,487,0.0016,0.0223,1382,-0.0043,0.0147,1222700,-0.0052,-0.0407
2018-09-01,IA,Iowa,196800,-0.0155,0.0772,15042,0.0263,0.0001,66,0.0313,-0.0149,4392,-0.0415,0.0106,116,-0.0169,0.0741,3698,0.0663,0.0845,3775,0.1093,0.1894,115,-0.0046,0.0671,1654,-0.0057,0.0039,241500,-0.0012,0.0468
2018-09-01,ID,Idaho,329900,-0.0111,0.1380,10028,-0.0078,-0.1690,61,0.0893,-0.0615,3242,-0.0673,-0.1059,178,-0.2261,-0.4826,2632,-0.0607,-0.0380,259,0.1719,-0.0582,159,-0.0037,0.1483,2154,-0.0025,0.0040,522100,-0.0078,0.1182
2018-09-01,IL,Illinois,241500,-0.0139,0.0505,73562,-0.0121,-0.0071,57,0.0556,-0.0500,22480,-0.0030,0.0774,464,-0.0293,0.0311,18528,-0.0164,0.0579,7288,-0.0644,0.0943,126,-0.0025,0.0602,1805,-0.0036,0.0008,349000,-0.0068,0.0229
2018-09-01,IN,Indiana,186000,-0.0159,0.0948,23720,0.0179,-0.1769,55,0.0377,-0.1270,8784,-0.0561,0.0390,280,0.0938,-0.1617,7786,-0.0033,0.0175,2771,-0.0348,-0.2143,92,-0.0011,0.0771,1990,-0.0025,0.0153,252700,-0.0051,0.0587
2018-09-01,KS,Kansas,185000,-0.0107,0.0889,12104,-0.0057,-0.0072,66,0.0645,0.0154,3584,-0.0598,-0.0672,146,-0.1512,-0.2065,3032,-0.0137,0.0836,301,-0.0623,-0.2141,88,0.0046,0.0798,2016,0.0000,0.0362,272200,0.0119,0.1403
2018-09-01,KY,Kentucky,195000,-0.0031,0.0762,17775,0.0053,-0.0318,67,0.0308,-0.0822,5078,-0.1094,0.0197,208,0.1304,0.3000,4420,-0.0005,0.0796,5428,-0.0839,-0.0352,101,0.0055,0.0581,1943,-0.0094,0.0088,264500,-0.0019,0.0154
2018-09-01,LA,Louisiana,224900,-0.0004,0.0359,20529,-0.0066,0.0932,83,0.0375,0.0375,4624,-0.0613,0.0438,204,-0.2214,0.3973,4926,-0.0479,0.1040,3192,-0.0440,0.2430,117,-0.0009,0.0386,1917,-0.0017,-0.0032,294200,-0.0078,0.0194
2018-09-01,MA,Massachusetts,460000,0.0000,0.0337,24107,0.0455,0.0739,52,-0.0189,-0.1034,10824,0.1651,0.1624,264,0.0154,-0.0833,8206,0.3439,0.3075,403,-0.0671,-0.5225,244,0.0046,0.0455,1850,0.0000,-0.0107,687100,-0.0059,-0.0183
2018-09-01,MD,Maryland,325000,-0.0137,0.0210,27147,0.0114,-0.0299,59,0.0172,-0.0781,8758,-0.0023,0.0083,604,0.0903,0.1144,7754,0.0894,0.0610,14,0.0769,-0.9760,172,-0.0024,0.0311,1859,-0.0064,0.0117,423100,-0.0110,0.0064
2018-09-01,ME,Maine,245900,-0.0124,0.0464,11001,0.0047,-0.0863,95,0.1176,-0.0686,2268,-0.1416,-0.0165,92,0.1220,0.0455,2342,0.0052,0.0183,1457,-0.0122,0.0674,145,-0.0055,0.0529,1707,-0.0050,-0.0081,358500,-0.0105,0.0367
2018-09-01,MI,Michigan,199900,-0.0206,0.0984,46989,0.0080,-0.0370,55,0.0377,-0.1538,15452,-0.1279,0.0355,558,0.0145,-0.0141,14220,0.0650,0.1916,4001,0.7525,2.8105,120,0.0035,0.0936,1686,-0.0079,0.0111,293400,-0.0034,0.0577
2018-09-01,MN,Minnesota,274900,-0.0004,0.0996,24745,0.0070,-0.0559,55,0.0577,-0.0984,9104,-0.0934,0.1000,276,0.1220,0.1795,7352,0.0044,0.0944,9052,-0.0957,0.0384,137,-0.0004,0.0665,2048,-0.0034,0.0094,364300,0.0075,0.0587
2018-09-01,MO,Missouri,190000,0.0005,0.0716,31661,-0.0092,-0.0412,65,0.0656,-0.0441,8608,-0.0977,-0.0099,254,-0.1859,-0.1533,7310,-0.0308,0.0122,3134,-0.0428,-0.2943,106,-0.0007,0.0675,1774,0.0014,0.0082,263800,0.0034,0.0637
2018-09-01,MS,Mississippi,192300,-0.0036,0.0683,12195,0.0004,-0.0596,93,0.0449,0.0000,2650,-0.0576,0.0808,118,0.0000,-0.2436,2320,-0.0615,0.0872,2007,-0.0708,0.6056,94,0.0006,0.0336,2026,-0.0063,0.0100,251400,-0.0020,0.0484
2018-09-01,MT,Montana,329500,-0.0164,0.0239,10454,0.0049,0.0467,89,0.1410,-0.0326,1924,-0.1018,0.2286,58,-0.2927,0.2083,1694,-0.0208,0.2438,718,-0.0042,0.0543,159,0.0017,0.0454,2166,-0.0082,-0.0186,550500,-0.0015,-0.0002
2018-09-01,NC,North Carolina,279000,0.0098,0.0364,57896,-0.0063,-0.0640,84,0.0633,-0.0345,12946,-0.1726,-0.0505,956,-0.1277,0.0324,11346,-0.0909,-0.0705,10872,-0.0377,0.1454,129,0.0088,0.0309,2161,-0.0002,0.0039,372900,0.0100,0.0242
2018-09-01,ND,North Dakota,235000,-0.0147,0.0069,4269,0.0228,0.0169,74,0.0423,0.0000,914,-0.1295,-0.1143,42,0.6154,0.6154,1066,0.1197,0.0789,24,0.0000,23.0000,114,0.0197,0.0445,2057,-0.0564,-0.0441,279800,-0.0043,0.0302
2018-09-01,NE,Nebraska,231500,-0.0141,0.0767,5817,0.0168,0.1297,52,0.1064,-0.0370,2404,0.0204,0.1038,64,-0.4074,0.6842,1432,-0.0809,0.0639,1150,-0.0733,-0.6357,115,0.0029,0.0557,1907,-0.0075,0.0039,280800,-0.0099,0.0278
2018-09-01,NH,New Hampshire,307200,0.0139,0.0597,9651,-0.0135,-0.1937,68,0.1148,-0.1500,2430,-0.0844,-0.0041,96,0.0667,-0.2381,2022,0.0181,0.0130,7,-0.1250,-0.2222,159,0.0032,0.0765,1925,-0.0065,-0.0171,399300,0.0000,0.0262
2018-09-01,NJ,New Jersey,358400,0.0003,0.0894,52500,-0.0080,-0.0184,68,0.0462,-0.0685,16190,0.0529,0.0926,562,0.0891,0.0485,12256,0.0386,0.1189,36,-0.0526,-0.9930,163,-0.0028,0.0527,1869,-0.0019,0.0196,529800,0.0009,0.0617
2018-09-01,NM,New Mexico,239900,-0.0004,0.0430,10214,-0.0144,-0.1076,84,0.0633,-0.0562,2454,-0.0816,0.0099,100,-0.3902,-0.1667,2290,-0.0280,-0.0599,2694,0.0832,1.1814,123,-0.0049,0.0262,1964,-0.0015,0.0192,361500,0.0089,0.0552
